/mPlus X,/mPlus Y,State X,State Y
0,0,0,0
1e-05,0.00188495546796198,1e-05,0
2e-05,0.003769910191768219,2e-05,0
3e-05,0.005654863427273618,3e-05,0
4e-05,0.007539814430328492,4e-05,0
5e-05,0.009424762456784034,5e-05,0
6e-05,0.01130970676249262,6e-05,0
7.000000000000001e-05,0.01319464660330809,7.000000000000001e-05,0
8.000000000000001e-05,0.01507958123508604,8.000000000000001e-05,0
9.000000000000001e-05,0.01696450991368413,9.000000000000001e-05,0
0.0001,0.01884943189496237,0.0001,0
0.00011,0.02073434643478343,0.00011,0
0.00012,0.02261925278901287,0.00012,0
0.00013,0.02450415021351954,0.00013,0
0.00014,0.02638903796417577,0.00014,0
0.00015,0.02827391529685774,0.00015,0
0.00016,0.03015878146744572,0.00016,0
0.00017,0.03204363573182439,0.00017,0
0.00018,0.03392847734588316,0.00018,0
0.00019,0.03581330556551639,0.00019,0
0.0002,0.03769811964662376,0.0002,0
0.00021,0.03958291884511051,0.00021,0
0.00022,0.04146770241688779,0.00022,0
0.00023,0.04335246961787285,0.00023,0
0.00024,0.0452372197039895,0.00024,0
0.00025,0.04712195193116821,0.00025,0
0.00026,0.04900666555534659,0.00026,0
0.0002700000000000001,0.05089135983246951,0.0002700000000000001,0
0.0002800000000000001,0.05277603401848954,0.0002800000000000001,0
0.0002900000000000001,0.05466068736936715,0.0002900000000000001,0
0.0003000000000000001,0.05654531914107104,0.0003000000000000001,0
0.0003100000000000002,0.05842992858957844,0.0003100000000000002,0
0.0003200000000000002,0.06031451497087539,0.0003200000000000002,0
0.0003300000000000002,0.06219907754095701,0.0003300000000000002,0
0.0003400000000000002,0.06408361555582789,0.0003400000000000002,0
0.0003500000000000003,0.06596812827150221,0.0003500000000000003,0
0.0003600000000000003,0.06785261494400423,0.0003600000000000003,0
0.0003700000000000003,0.06973707482936845,0.0003700000000000003,0
0.0003800000000000003,0.07162150718363995,0.0003800000000000003,0
0.0003900000000000004,0.07350591126287469,0.0003900000000000004,0
0.0004000000000000004,0.07539028632313975,0.0004000000000000004,0
0.0004100000000000004,0.07727463162051373,0.0004100000000000004,0
0.0004200000000000005,0.07915894641108695,0.0004200000000000005,0
0.0004300000000000005,0.08104322995096175,0.0004300000000000005,0
0.0004400000000000005,0.08292748149625284,0.0004400000000000005,0
0.0004500000000000005,0.08481170030308759,0.0004500000000000005,0
0.0004600000000000006,0.08669588562760618,0.0004600000000000006,0
0.0004700000000000006,0.08858003672596212,0.0004700000000000006,0
0.0004800000000000006,0.0904641528543224,0.0004800000000000006,0
0.0004900000000000006,0.09234823326886783,0.0004900000000000006,0
0.0005000000000000007,0.09423227722579328,0.0005000000000000007,0
0.0005100000000000007,0.09611628398130802,0.0005100000000000007,0
0.0005200000000000007,0.09800025279163602,0.0005200000000000007,0
0.0005300000000000007,0.09988418291301626,0.0005300000000000007,0
0.0005400000000000008,0.1017680736017029,0.0005400000000000008,0
0.0005500000000000008,0.1036519241139659,0.0005500000000000008,0
0.0005600000000000008,0.1055357337060907,0.0005600000000000008,0
0.0005700000000000008,0.1074195016343792,0.0005700000000000008,0
0.0005800000000000009,0.1093032271551496,0.0005800000000000009,0
